id,name,category,review_count,address,rating,rating_count,phone_number,url,appointment,delivery,package,wifi,pet,parking,nursery,smokingroom,fordisabled,operation_time
12,에스쿱,이탈리안,178,경기 수원시 장안구 덕영대로445번길 37 1층 102호,4.8,13.0,010-8548-3234,https://place.map.kakao.com/641918700,Y,N,N,Y,Y,Y,N,Y,N,"{'월요일': {'시작시간': '17:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '17:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '17:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '17:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '17:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '17:00', '종료시간': '21:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': null, '종료시간': null, '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
13,라잌댓,카페,119,경기 수원시 장안구 덕영대로445번길 12 1층,3.5,24.0,070-8285-0716,https://place.map.kakao.com/2058600136,N,Y,N,Y,Y,Y,Y,Y,N,"{'월요일': {'시작시간': '11:30', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '11:30', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '11:30', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '11:30', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '11:30', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': null, '종료시간': null, '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': null, '종료시간': null, '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
14,모수밀면,국수,54,"경기 수원시 장안구 율전로107번길 5 해생빌딩 1층 101, 102호",4.5,47.0,031-278-7978,https://place.map.kakao.com/824423309,Y,Y,N,Y,Y,Y,Y,Y,Y,"{'월요일': {'시작시간': null, '종료시간': null, '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '11:00', '종료시간': '19:00', '휴게시작시간': '15:00', '휴게종료시간': '17:00', '라스트오더': null}, '수요일': {'시작시간': '11:00', '종료시간': '19:00', '휴게시작시간': '15:00', '휴게종료시간': '17:00', '라스트오더': null}, '목요일': {'시작시간': '11:00', '종료시간': '19:00', '휴게시작시간': '15:00', '휴게종료시간': '17:00', '라스트오더': null}, '금요일': {'시작시간': '11:00', '종료시간': '19:00', '휴게시작시간': '15:00', '휴게종료시간': '17:00', '라스트오더': null}, '토요일': {'시작시간': '11:00', '종료시간': '19:00', '휴게시작시간': '15:00', '휴게종료시간': '17:00', '라스트오더': null}, '일요일': {'시작시간': '11:00', '종료시간': '19:00', '휴게시작시간': '15:00', '휴게종료시간': '17:00', '라스트오더': null}}"
15,서울24시감자탕해장국,감자탕,68,경기 수원시 장안구 서부로 2163 굿모닝빌딩 1층,3.5,39.0,031-268-6557,https://place.map.kakao.com/21361365,Y,Y,N,Y,Y,Y,Y,Y,Y,"{'월요일': {'시작시간': '00:00', '종료시간': '24:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '00:00', '종료시간': '24:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '00:00', '종료시간': '24:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '00:00', '종료시간': '24:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '00:00', '종료시간': '24:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '00:00', '종료시간': '24:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '00:00', '종료시간': '24:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
16,아늑,이탈리안,404,경기 수원시 장안구 서부로2106번길 36-4 1층,4.1,58.0,070-7766-7725,https://place.map.kakao.com/881887666,Y,Y,N,Y,Y,Y,Y,Y,Y,"{'월요일': {'시작시간': '11:00', '종료시간': '21:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}, '화요일': {'시작시간': '11:00', '종료시간': '21:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}, '수요일': {'시작시간': '11:00', '종료시간': '21:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}, '목요일': {'시작시간': '11:00', '종료시간': '21:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}, '금요일': {'시작시간': '11:00', '종료시간': '21:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}, '토요일': {'시작시간': '11:00', '종료시간': '21:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}, '일요일': {'시작시간': '11:00', '종료시간': '21:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}}"
17,카페로디,카페,43,경기 수원시 장안구 화산로213번길 11 2층,4.6,5.0,0507-1476-5107,https://place.map.kakao.com/935640855,Y,N,N,Y,Y,Y,Y,Y,N,"{'월요일': {'시작시간': null, '종료시간': null, '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '12:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '12:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '12:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '12:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '12:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '13:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
18,은행나무참숯풍천민물장어,장어,1,경기 수원시 장안구 서부로2135번길 27,3.8,10.0,031-298-1314,https://place.map.kakao.com/27391641,Y,Y,N,Y,Y,Y,Y,Y,Y,"{'월요일': {'시작시간': '10:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '10:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '10:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '10:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '10:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '10:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '10:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
19,보영만두 성대직영점,분식,70,경기 수원시 장안구 화산로233번길 30 1층,3.6,39.0,031-227-6700,https://place.map.kakao.com/21295932,Y,Y,N,Y,Y,Y,Y,Y,Y,"{'월요일': {'시작시간': '10:00', '종료시간': '01:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '10:00', '종료시간': '01:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '10:00', '종료시간': '01:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '10:00', '종료시간': '01:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '10:00', '종료시간': '01:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '10:00', '종료시간': '01:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '10:00', '종료시간': '01:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
22,옥집,"호프,요리주점",66,경기 수원시 장안구 율전로108번길 20 YJ빌딩 2층,3.3,31.0,,https://place.map.kakao.com/1235356477,Y,N,N,Y,Y,Y,Y,Y,N,"{'월요일': {'시작시간': '16:00', '종료시간': '01:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '16:00', '종료시간': '01:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '16:00', '종료시간': '01:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '16:00', '종료시간': '01:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '16:00', '종료시간': '01:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '15:00', '종료시간': '02:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': null, '종료시간': null, '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
23,토기장이오리&삼겹살전문점,"육류,고기",235,경기 수원시 장안구 서부로 2178 1층,4.4,19.0,031-271-1118,https://place.map.kakao.com/727780795,Y,Y,N,Y,Y,Y,Y,Y,N,"{'월요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '11:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '11:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
24,나츠비,일식,153,경기 수원시 장안구 서부로2106번길 22 1층,4.8,49.0,0502-5550-3314,https://place.map.kakao.com/1460865891,Y,Y,N,Y,Y,Y,Y,Y,Y,"{'월요일': {'시작시간': '17:30', '종료시간': '24:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '17:30', '종료시간': '24:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '17:30', '종료시간': '24:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '17:30', '종료시간': '24:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '17:30', '종료시간': '24:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '17:30', '종료시간': '24:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': null, '종료시간': null, '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
25,명륜진사갈비 수원성균관대점,갈비,97,경기 수원시 장안구 서부로 2129-5 1층,4.0,31.0,031-292-9333,https://place.map.kakao.com/1871700603,Y,Y,N,Y,Y,Y,N,Y,N,"{'월요일': {'시작시간': '11:30', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}, '화요일': {'시작시간': '11:30', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}, '수요일': {'시작시간': '11:30', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}, '목요일': {'시작시간': '11:30', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}, '금요일': {'시작시간': '11:30', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}, '토요일': {'시작시간': '11:30', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}, '일요일': {'시작시간': '11:30', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': '21:00'}}"
26,최고집 원조 수구레,한식,143,경기 수원시 장안구 서부로 2107 룡호빌딩 1층,4.2,25.0,070-8843-4329,https://place.map.kakao.com/1676208114,Y,Y,N,Y,Y,Y,Y,Y,Y,"{'월요일': {'시작시간': null, '종료시간': null, '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '16:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '16:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '16:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '16:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '12:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '16:00', '종료시간': '23:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
27,포동이네 성대점,"초밥,롤",193,경기 수원시 장안구 율전로98번길 6-2 1층,3.8,23.0,031-294-4988,https://place.map.kakao.com/1234555779,Y,Y,N,N,Y,N,Y,Y,N,"{'월요일': {'시작시간': '11:00', '종료시간': '22:00', '휴게시작시간': '14:40', '휴게종료시간': '16:30', '라스트오더': null}, '화요일': {'시작시간': '11:00', '종료시간': '22:00', '휴게시작시간': '14:40', '휴게종료시간': '16:30', '라스트오더': null}, '수요일': {'시작시간': '11:00', '종료시간': '22:00', '휴게시작시간': '14:40', '휴게종료시간': '16:30', '라스트오더': null}, '목요일': {'시작시간': '11:00', '종료시간': '22:00', '휴게시작시간': '14:40', '휴게종료시간': '16:30', '라스트오더': null}, '금요일': {'시작시간': '11:00', '종료시간': '22:00', '휴게시작시간': '14:40', '휴게종료시간': '16:30', '라스트오더': null}, '토요일': {'시작시간': '11:00', '종료시간': '22:00', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '11:00', '종료시간': '21:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
29,예감쪽갈비 수원성대점,갈비,227,경기 수원시 장안구 율전로98번길 6-9 2층,,,031-298-9866,https://place.map.kakao.com/1500905935,Y,Y,N,Y,Y,Y,Y,Y,N,"{'월요일': {'시작시간': '16:00', '종료시간': '22:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '화요일': {'시작시간': '16:00', '종료시간': '22:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '수요일': {'시작시간': '16:00', '종료시간': '22:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '목요일': {'시작시간': '16:00', '종료시간': '22:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '금요일': {'시작시간': '16:00', '종료시간': '22:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '토요일': {'시작시간': '16:00', '종료시간': '22:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '16:00', '종료시간': '22:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
30,미가라멘 성대본점,일본식라면,54,경기 수원시 장안구 서부로2106번길 38-2 1층,3.8,34.0,031-296-3375,https://place.map.kakao.com/1224099552,N,Y,N,Y,Y,Y,Y,Y,N,"{'월요일': {'시작시간': '10:30', '종료시간': '21:30', '휴게시작시간': '15:30', '휴게종료시간': '16:30', '라스트오더': null}, '화요일': {'시작시간': '10:30', '종료시간': '21:30', '휴게시작시간': '15:30', '휴게종료시간': '16:30', '라스트오더': null}, '수요일': {'시작시간': '10:30', '종료시간': '21:30', '휴게시작시간': '15:30', '휴게종료시간': '16:30', '라스트오더': null}, '목요일': {'시작시간': '10:30', '종료시간': '21:30', '휴게시작시간': '15:30', '휴게종료시간': '16:30', '라스트오더': null}, '금요일': {'시작시간': '10:30', '종료시간': '21:30', '휴게시작시간': '15:30', '휴게종료시간': '16:30', '라스트오더': null}, '토요일': {'시작시간': '10:30', '종료시간': '21:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}, '일요일': {'시작시간': '10:30', '종료시간': '21:30', '휴게시작시간': null, '휴게종료시간': null, '라스트오더': null}}"
